name                                                         ,type            ,longitude ,latitude ,source_file
"Feature-Barhabise to TshoRolpa (Line 9, Point 15)"          ,MultiLineString ,  86.1801 , 27.8699 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 9, Point 16)"          ,MultiLineString ,  86.1784 , 27.8687 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 9, Point 17)"          ,MultiLineString ,  86.1772 , 27.8673 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 9, Point 18)"          ,MultiLineString ,  86.1754 , 27.8664 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 9, Point 19)"          ,MultiLineString ,  86.1725 , 27.867  ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 9, Point 20)"          ,MultiLineString ,  86.1656 , 27.8661 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 9, Point 21)"          ,MultiLineString ,  86.1619 , 27.8657 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 9, Point 22)"          ,MultiLineString ,  86.1605 , 27.8639 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 9, Point 23)"          ,MultiLineString ,  86.1602 , 27.8609 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 9, Point 24)"          ,MultiLineString ,  86.1604 , 27.8587 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 9, Point 25)"          ,MultiLineString ,  86.1594 , 27.8565 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 9, Point 26)"          ,MultiLineString ,  86.1586 , 27.8549 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 9, Point 27)"          ,MultiLineString ,  86.1599 , 27.8523 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 9, Point 28)"          ,MultiLineString ,  86.1615 , 27.8501 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 9, Point 29)"          ,MultiLineString ,  86.16   , 27.847  ,dataset/raw/Barhabise to TshoRolpa.json
